Country,Year,avg_goldstein,avg_tone,total_mentions,total_articles,event_count,ActionGeo_CountryCode
Algeria,1980,1.9875568416701102,4.931067815391808,8852,8788,2419,AG
Algeria,1981,1.9884767166535118,5.357238322414892,9077,9018,2534,AG
Algeria,1982,2.167105263157894,4.606086880958107,7457,7377,2052,AG
Algeria,1983,2.3576805251641137,4.379898928046617,8293,8273,2285,AG
Algeria,1984,2.5512697022767075,4.559246147873014,9530,9420,2284,AG
Algeria,1985,1.8374344301382934,4.256840721182622,8622,8483,2097,AG
Algeria,1986,2.029301310043669,4.370258002284868,8911,8849,2290,AG
Algeria,1987,1.9652144545761552,4.405389076821042,11200,11074,2961,AG
Algeria,1988,1.5693706020328377,4.669061682012021,21379,21197,5116,AG
Algeria,1989,2.186482449589243,4.10532715139178,10469,10376,2678,AG
Algeria,1990,1.9986937091784116,4.488549501619753,11704,11566,2909,AG
Algeria,1991,0.8775217160077999,4.958526900266851,29146,28854,5641,AG
Algeria,1992,-0.12138613861386127,4.7710135727737155,22633,22505,4545,AG
Algeria,1993,-1.7174471119562624,3.918266835510318,20636,20458,4207,AG
Algeria,1994,-1.1795579084238883,4.193880317919636,53007,51919,10767,AG
Algeria,1995,-1.4497947314403015,4.366567104314507,51797,50886,11692,AG
Algeria,1996,-0.42344834732152103,4.579470727747333,46868,45854,9651,AG
Algeria,1997,-0.9111621757743644,4.5267742815544025,79537,77583,15884,AG
Algeria,1998,-0.2892413326241476,4.50317786609161,114985,113355,20681,AG
Algeria,1999,0.5515413975337634,5.577514972876186,108252,106796,20436,AG
Algeria,2000,0.44454691259021645,5.446626977387612,105411,102090,19952,AG
Algeria,2001,-0.29123768375573017,4.780836410676579,92984,92157,18979,AG
Algeria,2002,-0.48622392974753026,4.7280781892509784,58751,58368,12754,AG
Algeria,2003,0.4678278245841431,4.8503009337673415,97364,96591,18516,AG
Algeria,2004,0.5805418338993517,5.0377384983547175,60963,60579,12956,AG
Algeria,2005,0.276090958310774,4.970141897550409,40447,40107,9235,AG
Algeria,2006,0.6621527410931101,5.084164711738304,45298,20897,9467,AG
Algeria,2007,-0.9227492102492106,4.454175236550682,147827,95239,22792,AG
Algeria,2008,-0.08414287116082816,4.5767498256491415,129632,96396,20382,AG
Algeria,2009,0.06048695932599666,4.663859117861478,168269,141232,24807,AG
Algeria,2010,0.34925088652482283,5.087255174534694,153538,130129,22560,AG
Algeria,2011,-0.7107267041901187,4.8363110507401705,413664,376761,39975,AG
Algeria,2012,0.42752997792670067,3.77188846586439,430267,391814,50287,AG
Algeria,2013,0.15309844192634556,1.054734162730259,981950,956644,112960,AG
Algeria,2014,-0.09766929133858271,2.1329312604416915,581142,572659,57150,AG
Algeria,2015,0.016571140641445943,-2.0070302845469645,699186,689758,63508,AG
Algeria,2016,0.6087854676159351,-2.4477345256462626,738216,720150,66610,AG
Algeria,2017,0.5000334288443171,-2.714836342896265,379161,371771,41880,AG
Algeria,2018,0.7679132236562896,-2.4241875215657838,495720,485920,40057,AG
Algeria,2019,-0.2721736379874963,-3.5736307363527637,780135,760872,53744,AG
Algeria,2020,0.6286559850236756,-3.228272376042871,310047,305714,36324,AG
Algeria,2021,0.3590794709737823,-2.805572912502241,316114,310273,34176,AG
Algeria,2022,1.376922359379372,-1.5315074381838825,240754,236423,32161,AG
Algeria,2023,1.0874837511606317,-1.7317997557380906,238626,234998,32310,AG
Algeria,2024,0.9985619282314414,-1.799312707500394,212277,209344,29623,AG
Algeria,2025,1.055233666744723,-2.002127637970063,220364,217540,29893,AG
Argentina,1980,1.146855563234278,4.850978176305041,5525,5432,1447,AR
Argentina,1981,0.9157181571815718,4.864383382541313,10658,10591,2583,AR
Argentina,1982,-0.22037325038880237,4.332525718346339,103281,102613,25077,AR
Argentina,1983,0.11751462506647754,4.700694375166943,25309,25172,5641,AR
Argentina,1984,0.592515870364183,4.659660835362053,25031,24918,5986,AR
Argentina,1985,0.4542734073906141,4.747158601842933,18484,18366,4411,AR
Argentina,1986,0.964111684154366,4.44502449455692,22558,22423,5623,AR
Argentina,1987,0.8008482871125615,4.34453073726484,25737,25648,6130,AR
Argentina,1988,1.0190306218297955,3.7120043406364,22228,22043,5323,AR
Argentina,1989,0.7720446473871129,4.1975131888362265,15960,15810,3942,AR
Argentina,1990,1.0912922218779044,4.309110496562486,12799,12670,3227,AR
Argentina,1991,1.7719172175912625,4.435140988572704,15434,15276,3479,AR
Argentina,1992,1.7049438202247196,4.354518659737639,10295,10163,2670,AR
Argentina,1993,1.2802756508422668,4.496685904788559,12746,12628,3265,AR
Argentina,1994,0.7600858369098713,4.531016028635279,29438,29001,7456,AR
Argentina,1995,1.0123264102248992,4.631485437987057,31020,30655,8137,AR
Argentina,1996,1.2721583455513537,5.151567289657423,52369,51851,12959,AR
Argentina,1997,1.4073493083003945,5.431566064444613,61648,61057,16192,AR
Argentina,1998,1.175535691644479,4.9610123221269955,63357,62781,15774,AR
Argentina,1999,1.4358281958526524,5.378422785623817,81480,80851,19627,AR
Argentina,2000,1.0560358323186643,5.196550803083518,53211,51864,11498,AR
Argentina,2001,0.9657581018518516,5.3350854847609055,73708,73013,17280,AR
Argentina,2002,0.888189809539313,5.134739697315887,51413,51212,12286,AR
Argentina,2003,0.7489038167938935,5.248597005397763,73740,73281,16375,AR
Argentina,2004,1.3170858057831771,5.327659233485694,44848,44503,10617,AR
Argentina,2005,0.40130010834236174,4.984779035470242,23242,23107,5538,AR
Argentina,2006,0.7009742834485103,5.282313053713545,39669,24051,8827,AR
Argentina,2007,0.4887532496891598,4.886652846047482,91383,70837,17694,AR
Argentina,2008,0.8735376925753695,3.5894508462469816,185480,164565,31611,AR
Argentina,2009,1.034565927000561,4.6094262330570634,393675,369054,60658,AR
Argentina,2010,0.9314342177185387,5.534411230585486,344980,323921,47566,AR
Argentina,2011,0.8825864129435559,5.390883670411062,336023,320403,43512,AR
Argentina,2012,0.7748242661448146,4.839606195328087,630921,610317,63875,AR
Argentina,2013,1.0316025376727362,2.5623722406612566,689915,679805,75197,AR
Argentina,2014,1.119462769619091,2.4344913731363294,614698,605107,69730,AR
Argentina,2015,0.6233534690624439,-1.082924717122566,1160029,1143307,109094,AR
Argentina,2016,1.106625986548316,-1.4469930849569674,1146661,1120939,105540,AR
Argentina,2017,1.1834096591041852,-1.5751136701935968,1067220,1048593,85598,AR
Argentina,2018,1.5703491992201435,-1.3554088040004562,1531225,1499676,97967,AR
Argentina,2019,1.2440786092214664,-1.5720225460295825,659657,645224,66150,AR
Argentina,2020,1.1813629299747173,-1.7488954721795946,418603,411723,43113,AR
Argentina,2021,1.2102141991108712,-1.1845421019980849,317946,312044,37115,AR
Argentina,2022,1.1348309873116569,-1.3182129691091453,346100,340907,40353,AR
Argentina,2023,1.3597602207723372,-0.8285968352851197,477635,468447,54717,AR
Argentina,2024,1.1408761563082555,-1.5131312880389103,497389,491052,56864,AR
Argentina,2025,1.336816897117809,-1.213367858913932,650826,640577,59087,AR
Australia,1980,1.5736509758897814,4.572607225587622,7220,7192,1742,AS
Australia,1981,1.0625400641025655,4.8212693976402425,10796,10717,2496,AS
Australia,1982,0.754780467788264,4.859425807947841,9786,9732,2437,AS
Australia,1983,0.9652821541105698,5.068856738520425,15004,14893,3491,AS
Australia,1984,0.9798424162836501,4.564978808632276,12417,12263,3046,AS
Australia,1985,1.317537313432836,4.93630165452729,20822,20675,4824,AS
Australia,1986,1.338626933232742,4.211686038932682,22448,22197,5302,AS
Australia,1987,1.1509251968503935,3.951812692057907,21217,21116,5080,AS
Australia,1988,1.588285767580674,3.6350556782512125,23785,23476,5361,AS
Australia,1989,1.726211055276382,3.5728731879432285,22918,22709,4975,AS
Australia,1990,1.459640792733278,3.5434333067818677,21109,20934,4844,AS
Australia,1991,1.3940581380458443,4.323837292925249,37711,37176,7809,AS
Australia,1992,1.7491228070175435,4.224838441964309,28660,28319,6669,AS
Australia,1993,1.237157038466841,4.319842900720749,32573,32305,7253,AS
Australia,1994,0.6778611797951253,4.632990716698942,47333,46803,11324,AS
Australia,1995,0.7011275600214777,4.958074651672991,48070,47471,13037,AS
Australia,1996,0.7419588434488144,5.357258413436836,87445,85961,19195,AS
Australia,1997,0.9701277561288417,5.417830073262999,85611,83964,20273,AS
Australia,1998,0.863782833707646,5.295065865639401,100313,99217,20482,AS
Australia,1999,0.8426435765028109,5.553967930682533,169019,167566,35051,AS
Australia,2000,0.964719282774838,5.402680500650182,138036,132774,27216,AS
Australia,2001,0.8221121903375832,5.298334373713239,142073,141024,31607,AS
Australia,2002,0.2977775026310899,5.119429685622243,146528,145488,32306,AS
Australia,2003,0.48453583644897014,5.189158918376461,192897,191569,37713,AS
Australia,2004,0.3442484380742373,5.295638159953673,148362,147311,32652,AS
Australia,2005,0.5616988324994046,5.273968074286137,155749,154504,33576,AS
Australia,2006,0.7389173105033149,5.485025709864906,397624,290175,76624,AS
Australia,2007,0.4032457724997778,5.3787426230452455,1453694,1296053,236369,AS
Australia,2008,0.32702439443256337,5.3552046478951,2530708,2406618,372667,AS
Australia,2009,0.597313471344769,5.532019845956097,4613775,4464704,558118,AS
Australia,2010,0.7652229597813354,5.696139103340584,4722846,4563274,512200,AS
Australia,2011,0.7013721847927575,5.630544085217217,6261594,6091983,614786,AS
Australia,2012,0.6994754676295933,5.225417729328462,7453063,7317492,701196,AS
Australia,2013,0.8340269417680234,2.622093377073909,6177929,6091372,700259,AS
Australia,2014,0.7565316651686655,2.469740014253515,11698809,11516305,1139298,AS
